"year","industry_branch","average_wage"
2021,Informační a komunikační činnosti,63416.5000
2021,"Kulturní, zábavní a rekreační činnosti",19807.1667
2021,Ostatní činnosti,20229.4000
2021,Peněžnictví a pojišťovnictví,49248.2000
2021,"Profesní, vědecké a technické činnosti",42131.2500
2021,Stavebnictví,20327.3333
2021,Těžba a dobývání,30380.8000
2021,"Ubytování, stravování a pohostinství",19876.0000
2021,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,22035.8333
2021,Veřejná správa a obrana; povinné sociální zabezpečení,39369.5000
2021,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",55598.5000
2021,Vzdělávání,34866.7500
2021,Zásobování vodou; činnosti související s odpady a sanacemi,31470.7500
2021,Zdravotní a sociální péče,45368.7500
2021,"Zemědělství, lesnictví, rybářství",27378.0000
2021,Zpracovatelský průmysl,34955.7500
